time,job,job_counting,city
2019-01,.NET,144,Đà Nẵng
2019-02,.NET,121,Đà Nẵng
2019-03,.NET,138,Đà Nẵng
2019-04,.NET,137,Đà Nẵng
2019-05,.NET,294,Đà Nẵng
2019-06,.NET,163,Đà Nẵng
2019-07,.NET,68,Đà Nẵng
2019-08,.NET,189,Đà Nẵng
2019-09,.NET,175,Đà Nẵng
2019-10,.NET,113,Đà Nẵng
2019-11,.NET,265,Đà Nẵng
2019-12,.NET,84,Đà Nẵng
2020-01,.NET,121,Đà Nẵng
2020-02,.NET,54,Đà Nẵng
2020-03,.NET,44,Đà Nẵng
2020-04,.NET,225,Đà Nẵng
2020-05,.NET,18,Đà Nẵng
2020-06,.NET,50,Đà Nẵng
2020-07,.NET,24,Đà Nẵng
2020-08,.NET,44,Đà Nẵng
2020-09,.NET,34,Đà Nẵng
2020-10,.NET,86,Đà Nẵng
2020-11,.NET,46,Đà Nẵng
2020-12,.NET,81,Đà Nẵng
2021-01,.NET,38,Đà Nẵng
2021-02,.NET,47,Đà Nẵng
2021-03,.NET,46,Đà Nẵng
2021-04,.NET,46,Đà Nẵng
2021-05,.NET,82,Đà Nẵng
2021-06,.NET,93,Đà Nẵng
2021-07,.NET,121,Đà Nẵng
2021-08,.NET,90,Đà Nẵng
2021-09,.NET,108,Đà Nẵng
2021-10,.NET,95,Đà Nẵng
2021-11,.NET,39,Đà Nẵng
2021-12,.NET,98,Đà Nẵng
2022-01,.NET,55,Đà Nẵng
2022-02,.NET,63,Đà Nẵng
2022-03,.NET,96,Đà Nẵng
2022-04,.NET,105,Đà Nẵng
2022-05,.NET,79,Đà Nẵng
2022-06,.NET,49,Đà Nẵng
2022-07,.NET,54,Đà Nẵng
2022-08,.NET,51,Đà Nẵng
2022-09,.NET,36,Đà Nẵng
2022-10,.NET,52,Đà Nẵng
2022-11,.NET,52,Đà Nẵng
2022-12,.NET,61,Đà Nẵng
2023-01,.NET,22,Đà Nẵng
2023-02,.NET,20,Đà Nẵng
2023-03,.NET,19,Đà Nẵng
2023-04,.NET,21,Đà Nẵng
2023-05,.NET,19,Đà Nẵng
2023-06,.NET,20,Đà Nẵng
2023-07,.NET,22,Đà Nẵng
2023-08,.NET,33,Đà Nẵng
2023-09,.NET,21,Đà Nẵng
2023-10,.NET,29,Đà Nẵng
2023-11,.NET,17,Đà Nẵng
2023-12,.NET,29,Đà Nẵng
2024-01,.NET,19,Đà Nẵng
2024-02,.NET,14,Đà Nẵng
2024-03,.NET,22,Đà Nẵng
2024-04,.NET,27,Đà Nẵng
2024-05,.NET,23,Đà Nẵng
2018-05,AI,5,Hà Nội
2018-09,AI,11,Hà Nội
2018-12,AI,2,Hà Nội
2019-01,AI,6,Hà Nội
2019-03,AI,6,Hà Nội
2019-04,AI,6,Hà Nội
2019-05,AI,9,Hà Nội
2019-06,AI,12,Hà Nội
2019-07,AI,10,Hà Nội
2019-08,AI,5,Hà Nội
2019-09,AI,2,Hà Nội
2019-10,AI,8,Hà Nội
2019-11,AI,5,Hà Nội
2019-12,AI,36,Hà Nội
2020-02,AI,2,Hà Nội
2020-03,AI,2,Hà Nội
2020-04,AI,8,Hà Nội
2020-06,AI,2,Hà Nội
2020-07,AI,1,Hà Nội
2020-08,AI,14,Hà Nội
2020-09,AI,2,Hà Nội
2020-10,AI,4,Hà Nội
2020-11,AI,4,Hà Nội
2020-12,AI,9,Hà Nội
2021-01,AI,3,Hà Nội
2021-03,AI,11,Hà Nội
2021-04,AI,14,Hà Nội
2021-05,AI,5,Hà Nội
2021-06,AI,2,Hà Nội
2021-07,AI,12,Hà Nội
2021-08,AI,11,Hà Nội
2021-09,AI,4,Hà Nội
2021-10,AI,7,Hà Nội
2021-11,AI,2,Hà Nội
2021-12,AI,7,Hà Nội
2022-01,AI,2,Hà Nội
2022-02,AI,7,Hà Nội
2022-03,AI,14,Hà Nội
2022-04,AI,10,Hà Nội
2022-05,AI,4,Hà Nội
2022-06,AI,4,Hà Nội
2022-07,AI,4,Hà Nội
2022-08,AI,22,Hà Nội
2022-09,AI,5,Hà Nội
2022-10,AI,4,Hà Nội
2022-11,AI,3,Hà Nội
2022-12,AI,6,Hà Nội
2018-05,AI,5,Hồ Chí Minh
